"","codmpio","Municipio","Depto","subregion","CTEP","nbi","iga_total","desemp_fisc","GAI","conflict_index","acciones_belicas","secuestro","ataques","ase_desap","coca","mineria_ilegal","pob_censo2018_2023","pob_rural_censo2018_2023","part_senado_urbano","part_camara_urbano","part_senado_rural","part_camara_rural","secciones_rurales","RAP"
"175",73148,"Carmen de Apicalá","Tolima","Norte Del Tolima",0,30.4762725830078,67.1054181240977,66.1292158125869,0,-1.03043840019847,5,4,0,2,0,0,7956,1900,45.1376146788991,46.5366972477064,0,0,2,"RAP (E) Central"
"176",25871,"Villagómez","Cundinamarca","Noroccidente De Cundinamarca",0,41.7939453125,66.1839316332835,60.233989823172,0,-0.77643825461292,5,0,0,9,0,0,1488,836,50.251256281407,50.251256281407,64.2458100558659,64.2458100558659,2,"RAP (E) Central"
"177",63130,"Calarcá","Quindío","Eje Cafetero",0,20.0379123687744,69.1312838649957,67.2670841778203,0,-0.757283773182998,38,10,0,71,0,0,60274,12277,49.9961199705118,50.0950607224615,55.8849171752398,55.984555984556,3,"RAP Eje Cafetero"
"178",54109,"Bucarasica","Norte de Santander","Catatumbo",0,68.0651779174805,50.4234275777248,56.118958920468,5,-0.420978893324829,17,4,0,37,4.87,0,4199,3709,44.8992852501624,44.8992852501624,54.4610415825595,54.4206701655228,1,"RAP Gran Santander"
"179",73678,"San Luis","Tolima","Sur Del Tolima",0,51.2409858703613,66.9365355859524,64.3849869538996,0,-0.854584039165345,3,2,0,98,0,0,10135,7173,51.5762925598991,51.702395964691,55.8287409919457,55.4896142433234,3,"RAP (E) Central"
"180",25335,"Guayabetal","Cundinamarca","Altiplano Cundiboyacense",0,46.3351173400879,69.9059884295653,66.7802187762583,0,2.04058086112429,44,73,0,40,0,0,4985,2927,55.3157290470723,55.3846153846154,65.7142857142857,65,2,"RAP (E) Central"
"181",5150,"Carolina","Antioquia","Norte De Antioquia",0,23.5506267547607,72.3875070144449,65.164939596089,0,1.19118117104822,60,14,0,88,0,0,3365,744,38.8423645320197,38.2758620689655,48.3870967741936,45.1612903225806,3,"RAP del Agua y la Montaña"
"182",52051,"Arboleda","Nariño","Norte De Nariño",0,64.6916961669922,64.4160168436851,60.6794660476649,0,-0.952893978562507,1,5,0,5,0,0,6349,5479,61.0029693170571,61.0029693170571,72.0636067943621,72.0636067943621,1,"RAP Pacífico"
"183",25339,"Gutiérrez","Cundinamarca","Altiplano Cundiboyacense",0,56.7362670898438,60.7173958829909,58.7751568193215,0,0.210402935719577,108,2,1,16,0,0,2726,1710,52.4020694752402,52.4020694752402,0,0,2,"RAP (E) Central"
"184",50226,"Cumaral","Meta","Piedemonte Llanero",0,28.5037746429443,63.628608612819,67.461743160476,0,-0.0885369660576484,23,23,0,211,0,0,16611,5500,54.7058823529412,54.6628407460545,57.8143360752056,57.8535056795926,2,"RAP (E) Central"
"185",68229,"Curití","Santander","Provincia De Guanenta",0,38.4860877990723,67.3999868445431,61.7275335096002,0,-1.08772702270329,1,2,0,4,0,0,9869,5890,59.7407622364094,59.7407622364094,59.2449464922711,59.1260404280618,3,"RAP Gran Santander"
"186",97161,"Caruru","Vaupés","Amazonia Sur-Oriental",0,100,65.2908678458768,59.0524142079937,0,-0.278300629845872,5,13,0,20,28.81,0,1840,914,51.5894039735099,52.9139072847682,45.0777202072539,45.0777202072539,1,"RAP Amazonia"
"187",15322,"Guateque","Boyacá","Altiplano Cundiboyacense",0,24.0368270874023,53.0236607200279,67.2613586825899,0,-0.827665093259671,2,2,0,24,0,0,8642,2478,44.3137690003329,44.2250083213137,0,0,2,"RAP (E) Central"
"188",25053,"Arbeláez","Cundinamarca","Sumapaz",0,33.8150100708008,73.7131025495884,61.2160044581827,0,-0.621113009157182,2,11,2,17,0,0,9206,4616,51.3171057019006,51.2726464377015,0,0,2,"RAP (E) Central"
"189",25372,"Junín","Cundinamarca","Altiplano Cundiboyacense",0,32.7186012268066,56.9657695043512,64.700680146312,0,-0.282530285163282,68,8,0,10,0,0,5113,3990,37.1390374331551,37.192513368984,37.6187814421464,37.5069871436557,2,"RAP (E) Central"
"190",15332,"Güicán","Boyacá","Altiplano Cundiboyacense",0,62.3561019897461,55.2148811443023,56.0748152873613,0,-0.266609415471166,61,3,1,16,0,0,2853,1735,43.4117647058824,43.2549019607843,36.4185110663984,36.4185110663984,1,"RAP (E) Central"
"191",47058,"Ariguaní","Magdalena","Sierra Nevada De Santa Marta",0,68.128059387207,43.606746926193,59.8527718834944,0,-0.481591068318126,27,15,0,196,0,0,21356,7947,57.2893395199633,57.2893395199633,58.9952053366688,58.9952053366688,3,"RAP Caribe"
