FECHA,COMUNA,ORGANIZACIÓN_COMUNAL,DIRECCIÓN,ORG_RADIO_ACCION,SEDES_SOCIALES,EST_EDUCATIVOS,CENTROS_DE_DESARROL,CASAS_DE_LA_CULTURA,SEDES_ONG,CONDICIONES_DE_OTRAS,CONDICIONES_DE_OTRAS,LEGIMITIMIDAD_BARRIO,LECTURAS_TERRITORIO,SECTORES_RADIO,JUNTA_DIRECTIVA,PART_GRUPOS_POBLACIO,DECISIONES_JUNTADIRECTIVA,DECISIONES_ASAMBLEA,PROYECTOS_EN_EL_AÑO,¿CUÁNTOS_PROYECTOS?,PROYECTO_AÑO_ANTERIOR,RECURSOS_PROPIOS,LIDERA_PROCESOS,ACTIVIDADES_SALUD,ACTIVIDADES_EDUCACIÓN,ACTIVIDADES_INCLUSIÓN,ACTIVIDADES_DEPORTES,ACTIVIDADES_RECREACI,ACTIVIDADES_MEDIO_AM,ACTIVIDADES_PAZ,ACTIVIDADES_CULTURA,OTROS,OTROS:_ENUNCIE_ACTIVIDADES,DIGNATARIOS ACTIVOS,CUENTA_COMISIONES,¿CUÁNTAS?,ACT_LIBRO_DE_AFILIAD,ACT_LIBRO_DE_INVENTA,ACT_LIBRO_DE_TESORER,ACT_LIBRO_DE_ACTAS,OTROS_LIBROS,ACT_OTROS_LIBROS,ESTRATEGIAS_DIVULGAC,REGLAMENTO_INTERNO,ACT_ESTATUTOS,ESPACIOSDELIBERACIÓN,EMPALME_DE_DIGNATARI,EMPALME_PRESIDENTE,EMPALME_VICEPRESIDENTE,EMPALME_TESORERO,EMPALME_SECRETARIO,EMPALME_COORDINADOR,EMPALME_ORGANOFISCAL,EMPALME_ORGANOCONCILIADOR,EMPALME_DELEGADOSASO,INCIDE_DESARROLLO,¿COMO_INCIDE?
22/09/2017,13,BARRIO LA INDEPENDENCIA  SECTOR NO 1,Cra 110 34 CC  133 Int- 106,SI,Bueno,No especifica,No especifica,No especifica,No especifica,Buen estado ,Bueno,"""Jornadas de ornato, recolección de mercados mediante un proyecto.., se realizan bailes, pedagogía con la universidad Luis Amigó, EAFIT y se hacen jornadas culturales""",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Población en Situación de Discapacidad",SI,No,SI,4,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","
Promoción y prevención en salud visual y ortodoncia articulados con la secretaria de salud",Se gestionan las becas de Sapiensa,Se realiza actividades dirigidas a toda la comunidad ,Articulación con el Inder ,"Se realiza actividades para la celebración del día del niño, de la mujer, madres etc.","red de gas, alumbrados, caminos, senderos, convites","Programa ""Choca la tarde para hablar"" en DDHH mejorar los entornos",Articulación con cultura en formación artística,"Derechos humanos, etc.",Isvimet: se esta realizando  29 proyectos para mejoramiento de vivienda.,14,Sí,6,25/052016,01/0172017,04/2017 esta acta esta en hojas de blook se recomienda pasarlo al libro y digitarlas en lo posible. ..,01/04/2017,N/A,N/A,Sí,Sí,No,Sí,No Empalme,NO,NO,NO,NO,NO,NO,NO,NO,Sí,"""mediante las jornadas que se realizan, con mejorar la calidad de vida, con los estudiantes tengan recursos para estudiar, con el mejoramiento de las vias, las escaleras eléctricas, la salud de los habitantes"" "
24/09/2017,13,BARRIO LA INDEPENDENCIA SECTOR II,Cra 111E 38C 47 Int. 102,SI,Bueno,No especifica,No especifica,No especifica,No especifica,Refieren que buen estado,Bueno,"""Gestión de las necesidades del barrio, cine foro, restaurante con apoyoo de la fundación madre Laura.",SI,No,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",NO,No,SI,3,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento.",Brigadas de la Secretaria de Salud,Las becas con sapiensa,N/A,N/A,Articulación con el Inder ,Proyecto mecanismo para los desechos ambientales ,N/A,Cine foro,N/A,N/A,17,Sí,6,03/2017,No tiene y se les indicó el procedimiento  ante la SPC ,Refiere que no lo tiene y existe denuncia .. de la cual no se evidencia ,15/03/2016,N/A,N/A,Sí,No,No,Sí,Empalme Parcial,SI,NO,SI,SI,NO,NO,NO,NO,Sí,"""En las acciones realizadas con apoyo de las diferentes Secretarias de la Alcaldía Municipal."""
04/10/2017,02,BARRIO LA ISLA,Calle 112 No. 47-71,SI,Regular,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"CELEBRACION DIA DE LA MADRE Y DEL PADRE, AMOR Y AMISTAD, NOVENAS DE NAVIDAD, DIA DE HALLOWEEN,  INTEGRACIÓN DE LA COMUNIDAD, JORNADA DE SALUD, SANCOCHOS",NO,No,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",NO,No,SI,DOS (DOS),SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos","CITOLOGIAS, BRIGADAS DE OJOS",PEDAGOGIA CON LOS NIÑOS,TALLERES CON LA POBLACION CON CAPACIDADES DIFERENTES,TORNEOS DEPORTIVOS,"DIA DE LAS COMETAS, RECREOCOMUNAS","PARQUE AMBIENTAL, BRIGADAS",,OBRAS DE TEATRO,,,1,No,No aplica,NO FUE PRESENTADO,NO FUE PRESENTADO,NO FUE PRESENTADO,,NO SE PRESENTO EL LIBRO DE ACTAS ,SE INFORMO QUE NO TIENEN NINGÚN OTRO LIBRO ,Sí,No,No,Sí,Empalme Parcial,SI,NO,NO,NO,NO,NO,NO,NO,Sí,"EN LA CONVIVENCIA, EN LA SOCIALIZACION DE PROYECTOS, EN EL MEJORAMIENTO CONTINUO Y CALIDAD DE VIDA.   "
08/09/2017,08,BARRIO LA LIBERTAD,Cra 20C Nº 56 - 75,SI,Malo,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"Gestiones, eventos deportivos y culturales, socialización con la policía, rendición de cuentas, asambleas",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,3,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia",Brigadas de salud,Cursos de convivencia,Cursos de convivencia,Torneos deportivos,Torneos deportivos,Convites de aseo,Cursos de convivencia,Cursos de convivencia,Infraestructura,"Red de gas, escalas, cambio de alcantarillado",12,Sí,5,14 Junio 2017,"No tienen, ya se llevaron para registro en SPC",2 Agosto 2017,28/08/2017,,,Sí,Sí,Sí,Sí,Empalme Parcial,SI,SI,NO,NO,NO,NO,SI,SI,Sí,Procurando la mejor calidad de vida de la comunidad ejecutando el plan de trabajo y gestionando ante los entes públicos y privados
12/09/2017,09,BARRIO LA MILAGROSA,CR 29 #41 - 14 ,SI,Regular,Regular,No especifica,Regular,No especifica,No especifica,No especifica,"INFRAESTRUCTURA, SALUD CULTURA Y DEPORTE, ADEMAS SE GESTIONA LA EDUCACIÓN.",NO,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Población en Situación de Discapacidad",SI,Sí,SI,3,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","BRIGADAS DE SALUD, LA PERLA, UNIVERSIDAD DE ANTIOQUIA, ",,CARNAVALES CON LOS GRUPOS DE ADULTO MAYOR ,,PROYECTOS RECREATIVOS CON EL INDER ,"CAPACITACIONES SOBRE RESIDUOS SÓLIDOS, SERVICIOS PUBLICOS ",,,,,11,Sí,3,,,,25/04/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,DÁNDOSE A CONOCER POR MEDIO DE LA EJECUCIÓN DE OBRAS Y DEMÁS HAMBITOS DEL DESARROLLO 
14/09/2017,04,BARRIO LA PIÑUELA,carrera 50 # 86 - 07,SI,Bueno,Bueno,No especifica,No especifica,No especifica,asilo santisima trinidad,Regular,"semilleros,escuela de futbol,grupo juveniles,manualidades,talleres artisticos,servicio social.",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,6,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",campañas,"talleres,semilleros.",actividades adultos mayores,torneos.,recreandos,linpieza quebrada.,jornadas de sensibilizacion,jornadas de integracion.,,,17,Sí,6,junio de 2016,agosto de 2017,agosto de 2017,10/08/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"garantizando la ascesibilidad a los proyectos sociales y la oferta institucional,mejorando la infraestructura vial,educativa deportica a traves de gestión."
20/09/2017,13,BARRIO LA PRADERA SECTOR PARTE ALTA,Cl 49A No. 97A 78,SI,Bueno,Bueno,No especifica,No especifica,No especifica,Buen estado,Bueno,"""Tiene información abierta a todo la comunicad, hacemos actividades para la comunidad en: recreación, cultura, obras públicas, se participa en gestión institucionales de red y gas, parcheos, pasamanos etc"".",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,4,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",Promoción y prevención en salud visual y ortodoncia articulados con la secretaria de salud,Se gestionan las becas de Sapiensa,Se realiza actividades dirigidas a toda la comunidad en mejoramiento de la calidad de vida,Se realiza talleres a víctimas del conflicto y se articulan con varios programas del plan de trabajo y articulación con el Inder,"Se realiza actividades para la celebración del día del niño, de la mujer, madres etc.","Siembras, limpieza, aseo, convites etc.",Todas las actividades apuntan a generar lazos de paz ,Eventos del plan de trabajo ver adjunto,Ver los mencionados ,Ver los mencionados ,14,Sí,7,28/08/2017,Sin fecha,05/08/2017,22/06/2017,N/A,N/A,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"""Mejorando acciones de vecindad, con buenas prácticas en el desarrollo de cada afiliado, beneficiándolos con programas que tenemos los servicios a la comunidad"""
12/09/2017,13,BARRIO LA QUIEBRA,Calle 48DD 99F - 17,SI,Bueno,Bueno,No especifica,No especifica,No especifica,Buenas condiciones,Bueno,"""eventos de esparcimiento, encuentros de juventud, adulto mayor, niños, eventos dedicados a la familia, reuniones formativas etc"". ",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores",SI,Sí,SI,14,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos",Brigadas de salud y atención primaria en salud,Becas con Sapiensa,Se realiza actividades dirigidas a toda la comunidad en mejoramiento de la calidad de vida,Articulación con el Inder ,"Se realiza actividades para la celebración del día del niño, de la mujer, madres etc.","Se cuenta con la mesa ambiental para sensibilizar los procesos del sector, se siembran arboles y se realiza jornadas de limpieza.",Todas las actividades que tenemos generan paz y armonía en la población,Articulación con cultura en formación artística,"Isvimet en mejora de vivienda, liderazgos juveniles y fortalecimiento de la convivencia ",Ver los antes mencionados ,14,Sí,3,24/0572017,"sin fecha, pero se evidencia ",12/0972017,,N/A,N/A,Sí,Sí,No,Sí,Empalme Parcial,NO,NO,NO,NO,NO,NO,NO,NO,Sí,"""Con todas las actividades antes mencionadas, con la articulación de las diferentes secretarias y la JAC, con los programas que están realizando y empoderamiento a los jóvenes en diferentes temas"" "
14/11/2017,02,BARRIO LA ROSA,CALLE 98 No. 50-68,SI,Bueno,Bueno,No especifica,No especifica,Bueno,No especifica,No especifica,"CANALIZACIÓN DE QUEBRADAS, PABIMENTACION DE CALLES",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Población en Situación de Discapacidad",SI,Sí,SI,2,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia","ARREGLO DEL ALCANTARILLADO PARA EVITAR LA EPIDEMIA DE LA BARICELA, QUE SEGÚN DIAGNOSTICO FUE LO QUE LA OCASIONO, EXTERMINIO DE ROEDORES  ",BECAS EN EDUCACIÓN SUPERIOR,,"SEMILLEROS, TORNEO DE RODILLONES, GIMNASIA",RECREANDOS,"CANALIZACIÓN DE LA QUEBRADA Y SENSIBILIZACION, GESTIÓN PARA EXTERMINIO DE ROEDORES",SENSIBILIZACION EN LA NO VIOLENCIA,,,,17,Sí,SEIS,25 DE OCTUBRE DE 1968,NO SE INFORMO,07 DE JULIO DE 2005,02/02/2015,,,Sí,Sí,No,Sí,Empalme Total,NO,NO,NO,SI,NO,NO,NO,NO,Sí,"EN LA TRANSFORMACIÓN COMO RESULTADO DE LA GESTIÓN, EN EL MEJORAMIENTO DE LA CALIDAD DE VIDA, EN CARRETERAS, I.E., AMOBLAMIENTO, TRANSPORTE, CENTRO DE SALUD "
11/09/2017,03,BARRIO LA SALLE,Carrera 42 B # 91-42,SI,Bueno,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"Los dignatarios actuales pudieron recuperar la junta después de un periodo largo de sanción, esta recibió su personería jurídica el mes de Junio, desde entonces viene articulandose con las necesidades de la comunidad y motivandola para su participación ",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores",SI,No,SI,7,NO,No,Fortalecer la Convivencia,Brigadas de Salud,Becas Educativas ,"Bonos Alimenticios, Ser capaz en Casa","Ajedrez, porrismo, natación y tenis de mesa ",,,,,,,14,Sí,8,Octubre del 2016,No tienen aún ,No se ha radicado ,24/08/2017,,,Sí,No,Sí,Sí,No Empalme,NO,NO,NO,NO,NO,NO,NO,NO,Sí,"incide positivamente , ha creado confianza con la comunidad "
20/08/2017,08,BARRIO LA SIERRA,Cra 6Este Nº 54B - 05,SI,Regular,Bueno,No especifica,No especifica,Bueno,Iglesia,Bueno,"Rendición de cuentas, asambleas, convites comunitarios, actividades varias, recreaciones",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Población en Situación de Discapacidad",SI,Sí,NO,formulación y gestión de proyectos,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia",,"Semilleros de niños, fortalecimiento en telecentro",Festivales,Torneo de fútbol ,Festivales,Recolección de residuos sólidos,Festivales,,Infraestructura y Productividad,"Construcción local y andenes, cancha polideportiva, motocarga",12,Sí,3,Marzo 29 de 2017,Mayo 29 de 2017,Agosto 19 de 2017 Pendiente de registro en SPC,18/08/2017,,,Sí,Sí,Sí,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,Con credibilidad y aceptación de la comunidad para con la JAC
13/09/2017,12,BARRIO LA SOLEDAD,Carrera 53A  N° 81B-55,NO,Bueno,Regular,No especifica,No especifica,No especifica,"Otros cultos(7), Comunidad Católica de Emaus, quien dio en comodato a la Junta de Acción Comunal,  la sede social",Bueno,"Actividades culturales, de integración social, Deportivas, y recreativas,Feri de Antioqueñidad, día de madres, Navidad comunitaria, noche de estrellas y celebración de día de amor y amistad; además, de la gestión de recursos en el Presupuesto Participativo, para que la comunidad se beneficie.",NO,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores",SI,Sí,SI,1,SI,Sí,"Mejorar la Infraestructura, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Promover la Participación social y comunitaria",Gestión móvil de Salud,Gestión y promoción de becas de educación superior con Presupuesto Participativo,,Acompañamiento a torneos deportivos,Celebración del día del niño,,,"Celebración del día de la madre, noche de setrellas",,,12,Sí,6,04/04/2017,,29/08/2017,,Libro de Acyas,06/09/2017,Sí,No,No,Sí,Empalme Total,NO,SI,NO,SI,NO,NO,NO,NO,Sí,"A través de actividades, tales como: la hidro terapia"
25/09/2017,07,BARRIO LAS COMETAS,cl 76ca # 88c-30,SI,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,No especifica,integracion con la comunidad,SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores",SI,No,SI,3,NO,No,Fortalecer la Convivencia,,,,,Actividades con niños,,,,,,14,No,No aplica,16/09/2016,sin registro,sin registro,,,,Sí,No,No,Sí,Empalme Parcial,SI,SI,NO,SI,SI,SI,SI,,Sí,Dinamización de información y apoyo a actividades
12/09/2017,10,BARRIO LAS PALMAS,Carrera 42  41-26,SI,Bueno,Bueno,No especifica,No especifica,No especifica,Fundación Estrellitas de Niquitao,Bueno,"Programación fiestas y eventos, Acompañamiento a los proyectos de PP, Formación en manualidades, programas de la tercera edad",NO,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",NO,No,SI,3,NO,Sí,Mejorar condiciones Medioambientales,Jornadas de salud oral,Capacitación en el tema de convivencia,,,,"Cultivos agroecológicos, manualidades",,,,,13,No,No aplica,N/A,N/A,N/A,,,,No,No,No,Sí,No Empalme,NO,NO,NO,NO,NO,NO,NO,NO,Sí,"Se desarrollan algunas acciones en el territorio en representación de la Junta, pero no hay un trabajo organizado y de todos los dignatarios. "
29/08/2017,09,BARRIO LORETO Y NACIONAL,CR 28B # 38F - ,SI,Regular,Bueno,No especifica,No especifica,No especifica,"SEDE TERCERA EDAD, BAMBI",Bueno,"SE ACOMPAÑA PROCESOS CON MADRES COMUNITARIAS, GRUPO JUVENIL, CLUB MARACANEROS, VISITANDO LOS SECTORES DEL BARRIO ESCUCHANDO SUS NECESIDADES Y PROPONIENDO SOLUCIONES.",NO,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes",SI,No,SI,3,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","CAMPAÑAS DE SALUD,ODONTOLOFGIA,",CLASES DE INCLES,,FÚTBOL.,,LIMPIEZA DE LAS QUEBRADAS,,"GRUPO DE CAPOEIRA,CLASE DE GUITARRA,GRUPO DE TEATRO ",,,15,Sí,4,,15 JUNIO 2017,5 AGOSTO 2017,,,,Sí,No,No,Sí,Empalme Parcial,SI,NO,NO,NO,NO,SI,NO,NO,Sí,"ACTIVANDO OBRES DE INFRAESTRUCTURA, MOVILIDAD Y EDUCACIÓN."
11/08/2017,13,BARRIO LOS ALCÁZARES,Cra 89 No. 48E- 01,SI,Bueno,Bueno,No especifica,Bueno,No especifica,Buen estado,Bueno,"Asambleas informativas y  audiencias públicas de la accidentalidad en la cra 87, Planes de trabajo con Semilleros y adulto mayor",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Indigenas, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,6,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia, Código de Policía ",Promoción y prevención en salud visual y ortodoncia articulados con la secretaria de salud,Se gestionan las becas de Sapiensa,Se realiza actividades dirigidas a toda la comunidad en mejoramiento de la calidad de vida ,Actividades con articulación con el Inder,"Se realiza actividades para la celebración del día del niño, de la mujer, madres etc.","Convites, prevención y cuidado del entorno, etc",No refieren,Articulación con las fiestas del Porro y cultura en formación cultural,Código de Policía,Talleres formativos y sensibilizando a la comunidad,14,Sí,5,19/07/2017 narran que se actualiza cada mes,10/08/2017,04/08/2017,05/07/2017,Ninguno,Ver adjunto,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"""Con el Plan de Desarrollo desde su construcción con la comunidad ya que se realizan varios programas con ellos; han solicitado con los medios de comunicación su presencia y se ha obtenido respuestas positivas"""
16/09/2017,10,BARRIO LOS ANGELES,Calle 43  60-73,SI,No especifica,Bueno,Bueno,Bueno,Bueno,No especifica,No especifica,"Programas de Deportes, Salud, Obras, Educación, Medio Ambiente",SI,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Afrodescendientes",SI,Sí,SI,5,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","Vacunación, campañas de prótesis, ortodoncia, lentes","Becas, capacitación en política pública, ",Maratón de la tercera edad,"Tenis de mesa, fútbol, ","Sociodramas, actividades artísticas","Siembras, podas, educación en reciclaje",Capacitaciones en el tema,Pícnic al parque,,,14,Sí,3,02/04/2017,06/10/2015,30/07/2017,31/08/2017,,,Sí,Sí,Sí,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,En el mejoramiento de la calidad de vida de los habitantes de la comunidad e infraestructura física
04/09/2017,11,BARRIO LOS COLORES,Carrera 77B  53-26. Oficina 2,SI,Bueno,Bueno,No especifica,Bueno,No especifica,No especifica,No especifica,"Rotación reuniones de dignatarios por diferentes parques del sector y abiertas a la comunidad, Proyecto: ""El Parque como sitio de encuentro y socialización""",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto",SI,Sí,SI,6,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia, Acciones Pegagógicas","Campañas de salud visual, mental y oral",Manejo y cuidado de mascotas y cuidado de los parques,Acciones con el adulto mayor vulnerable,Actividades con el INDER,Actividades con el INDER,Limpiezas y cultura del cuidado y respeto de los parques,Integración Cód de Policía,Amor patrio,,,14,Sí,4,02/11/2016,24/06/2016,17/08/2017,08/08/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"Acciones pedagógicas, cívicas y culturales, cuidado de los parques, seguridad y convivencia"
11/09/2017,80,BARRIO LOS SALINAS,Calle 45 B Sur # 81 A -15,SI,Bueno,Bueno,No especifica,No especifica,No especifica,Coliseo,Bueno,"Brigadas de Salud, Colectivo de Mujeres, Integración de la comunidad en diferentes actividades",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,3,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia","Vacunación de niños, tamisaje visual adultos",Taller de Pintura.,Mujeres autónomas; ,,,,"Convivencia,  explicación del código de policía a la comunidad por parte de la policía",,,,14,Sí,4,2016,DICIEMBRE DEL 2016,2016,15/03/2016,,,Sí,Sí,No,Sí,Empalme Total,SI,,,,,NO,NO,NO,Sí,"Con el Acueducto, y el Alcantarillado mejoró el entorno del territorio, programas de salud para el bienestar de la comunidad, en la seguridad del barrio."
11/09/2017,14,BARRIO MANILA,Carrera 43D #11-73,SI,Bueno,No especifica,No especifica,No especifica,No especifica,Mas Cerca y Casa de La Cultura,Bueno,"Convites de Ornato y Limpieza, gestionan recursos que llegan, Mesa de Trabajo y Seguridad",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores",SI,Sí,SI,5,SI,Sí,"Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento.","Campañas de Salud, Visual, Ortodoncia y vacunaciones",El Aval y les proposionan  horas sociales  a los estudiantes de Educación Superior,,Las Justas deportivas,,Educación Ambiental,,Manualidades,,Proyecto Piloto La Cocina,11,Sí,3,1 Septiembre 2017,24 de Agosto 2017,30 de Junio 201728 Agosto 2016,08/08/2017,Deben tener por cada contrato un libro individual,,Sí,Sí,No,Sí,Empalme Parcial,SI,SI,SI,NO,NO,NO,NO,NO,Sí,"Con la gestión que ha desarrollado la junta a mejorado el medio ambiente, la recolección de basuras y la seguridad."
07/09/2017,04,BARRIO MANRIQUE CENTRAL N. 1,carrera 47 # 71 a 40,SI,Regular,Bueno,No especifica,No especifica,Regular,No especifica,No especifica,"campañas de salud,educación,gestión para el mejoramiento de vías, parques, vivienda.",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Indigenas, Población en Situación de Discapacidad",SI,Sí,SI,5,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",campañas de prevencion.,capacitaciones y talleres formativos.,actividades grupos de adultos mayores.,,recreandos.,limpiezas.,,,,,16,Sí,6,27 abril de 2016,31 diciembre de 2016,31 agosto de 2017,08/08/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"mejoramiento de las condiciones sociales, de infraestructura,inclusion,deporte."
12/09/2017,03,BARRIO MANRIQUE LAS GRANJAS SECTOR PROBIEN,"La organización no cuenta con sede, la reunión fue en la casa de la Presidente  Carrera 42 # 85-167",SI,No especifica,No especifica,No especifica,No especifica,Bueno,No especifica,No especifica,Gestiones y eventos que contribuyen con la calidad de vida de la comunidad ,SI,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Victimas del conflicto",SI,Sí,SI,3,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",Brigadas de Salud ,Apoyo a estudiantes en Labor Social ,,"Punto activo inder, ajedrez, tenis de mesa, hidroaerobicos, natación, fútbol callejero","Recreo Cuadra ,  Recreo Comuna y el Inder con Recreando ",Proyecto Ambiental,,Danza y Teatro,,,14,Sí,6,17/01/2017,No tienen,12/07/2017,11/07/2017,,,Sí,Sí,Sí,Sí,Empalme Parcial,SI,SI,NO,SI,NO,NO,NO,NO,Sí,Incide de manera positiva por sus gestiones y su compromiso con la articulación en los diferentes ámbitos de la comunidad. 
15/09/2017,15,BARRIO MANZANARES,calle 2b # 55-133,NO,No especifica,No especifica,No especifica,No especifica,No especifica,No especifica,No especifica,"capacitación en prevención de desastres ,información en campañas de salud y deportes",NO,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Afrodescendientes",SI,No,NO,formulación y gestión de proyectos,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Fortalecer la Convivencia","campañas de información de vacunas,salud visual.","capacitación en sistemas, contabilidad",,torneo de fútbol.,,eco huertas.,,,,,15,Sí,3,20-05-2008,,,10/09/2017,,,Sí,No,No,Sí,Empalme Parcial,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"cuidando el parque,promoviendo el buen comportamiento en la comunidad, mediación de conflictos.   "
12/09/2017,01,BARRIO MARCO FIDEL SUÁREZ,Sede JAC,SI,Bueno,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"Con las acciones realizadas en el territorio (acciones comunitarias, talleres, alfabetización, talleres de periodismo.",NO,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos",NO,No,SI,1,NO,No,"Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia",,Alfabetización,Talleres de inclusión,Torneos deportivos,Grupo recreacional de jovenes,Recuperación de espacio abandonado,,Proyecto de baile y musica,,,2,No,No aplica,16/04/2016,No tienen,No lo han empezado a diligenciar,25/09/2016,,,Sí,No,No,Sí,No Empalme,NO,NO,NO,NO,NO,NO,NO,NO,Sí,Teniendo las puertas abierta para la comunidad como medio de información sobre las actividades sociales realizadas en el territorio
