FECHA,COMUNA,ORGANIZACIÓN_COMUNAL,DIRECCIÓN,ORG_RADIO_ACCION,SEDES_SOCIALES,EST_EDUCATIVOS,CENTROS_DE_DESARROL,CASAS_DE_LA_CULTURA,SEDES_ONG,CONDICIONES_DE_OTRAS,CONDICIONES_DE_OTRAS,LEGIMITIMIDAD_BARRIO,LECTURAS_TERRITORIO,SECTORES_RADIO,JUNTA_DIRECTIVA,PART_GRUPOS_POBLACIO,DECISIONES_JUNTADIRECTIVA,DECISIONES_ASAMBLEA,PROYECTOS_EN_EL_AÑO,¿CUÁNTOS_PROYECTOS?,PROYECTO_AÑO_ANTERIOR,RECURSOS_PROPIOS,LIDERA_PROCESOS,ACTIVIDADES_SALUD,ACTIVIDADES_EDUCACIÓN,ACTIVIDADES_INCLUSIÓN,ACTIVIDADES_DEPORTES,ACTIVIDADES_RECREACI,ACTIVIDADES_MEDIO_AM,ACTIVIDADES_PAZ,ACTIVIDADES_CULTURA,OTROS,OTROS:_ENUNCIE_ACTIVIDADES,DIGNATARIOS ACTIVOS,CUENTA_COMISIONES,¿CUÁNTAS?,ACT_LIBRO_DE_AFILIAD,ACT_LIBRO_DE_INVENTA,ACT_LIBRO_DE_TESORER,ACT_LIBRO_DE_ACTAS,OTROS_LIBROS,ACT_OTROS_LIBROS,ESTRATEGIAS_DIVULGAC,REGLAMENTO_INTERNO,ACT_ESTATUTOS,ESPACIOSDELIBERACIÓN,EMPALME_DE_DIGNATARI,EMPALME_PRESIDENTE,EMPALME_VICEPRESIDENTE,EMPALME_TESORERO,EMPALME_SECRETARIO,EMPALME_COORDINADOR,EMPALME_ORGANOFISCAL,EMPALME_ORGANOCONCILIADOR,EMPALME_DELEGADOSASO,INCIDE_DESARROLLO,¿COMO_INCIDE?
17/09/2017,60,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y DE VIVIENDA ASOSANCRISTOBAL,Calle 64 N° 128 42,SI,Regular,Bueno,No especifica,No especifica,No especifica,"Biblioteca, UVA, Hospital, Casa de Gobierno, estación de policia",Bueno,"Asambleas elección, informativas, participación en diferentes espacios de deliberación como mesa agropecuaria, Concejo de Medellin, debates de política publica",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes",SI,Sí,SI,17,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",Brigadas de salud,"Contenidos académicos: movilidad, planes de contingencia","Casa de la mujer, alimentación adulto mayor","Integración comunidades en las UVAS, programaciones deportivas con el INDER","Torneos, comisión recreo deportes PP",Procesos Cor Antioquia,"Diplomado gestores de paz, desminado humanitario","Actividades conjuntas con la Biblioteca, día del campesino, desfiles silleteritos","Obras y vivienda, unidades de Planificación rural","1. Reforma del CMDR
2. Construcción del PAM
3. Aportes ante la construcción del Distrito Rural Campesino y Unidades de planificación Rural (UPR)
4. Mesa Agropecuaria, Productiva y Campesina del Corregimiento
1. Mantenimiento por parte de secretaria de Infraestructura Departamental (Adjudicador del contrato hacia un contratante en mantenimiento y estabilización de la malla vial)
2. Empalme hacia la Agencia Nacional de Infraestructura (ANI) y el Concesionario DEVIMAR",15,Sí,4,11/06/2017,15/06/2017,05/09/2017,11/06/2017,,,Sí,No,No,Sí,Empalme Parcial,SI,NO,NO,NO,NO,NO,NO,NO,Sí,"Incide positivamente en la formación de lideres, en la solución de contingencias inmediatas, participación de los campesinos en nuevos procesos, ejecución planes, proyectos de participación y en la generación de nuevas oportunidades a los jóvenes, niños, mujeres y campesinos."
13/09/2017,09,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y JUNTAS DE VIVIENDA COMUNITARIA ASOCOMUNAL 9,CL 37 # 24D - 14 ,SI,Bueno,Bueno,Bueno,Bueno,Bueno,"CUERPO DE BOMBEROS, BATALLÓN MILITAR",,SE TRABAJA DE LA MANO CON LAS JAC DE LA COMUNA Y CON LA JAL.,SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",SI,Sí,SI,6,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",BRIGADAS DE SALUD ,FORMACIÓN PARA LA PARTICIPACIÓN ,SEMILLEROS,,,"LIMPIEZA DE QUEBRADAS, EDUCACIÓN AMBIENTAL",,"MÚSICA, NAVIDADES.",,,16,Sí,5,01/04/2017,10/07/2017,,,,,Sí,Sí,Sí,Sí,Empalme Parcial,NO,SI,SI,SI,SI,SI,SI,SI,Sí,MEDIANTE EL FORTALECIMIENTO A LAS DISTINTAS JAC DE LA COMUNA ATRAVEZ DE LA FORMACIÓN Y LEVANTAMIENTO DE DIAGNÓSTICOS.
06/09/2017,11,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y JUNTAS DE VIVIENDA COMUNITARIA DE LA COMUNA 11,Transversal 39B  75-39,SI,Bueno,Bueno,Bueno,Bueno,No especifica,No especifica,No especifica,"Reuniones de Juntas de Acción Comunal, Apoyo a las JAC´s, Actividades en la Sede Social de Asocomunal",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Población en Situación de Discapacidad",SI,Sí,SI,3,NO,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia, Fortalecer la comunicación","Programas de PP, Salud Visual","Telecentro, Capacitaciones",Participación de diferentes sectores y grupos poblacionales,INDER,Actividades con el INDER,"Siembras y limpiezas, Mesa Ambiental","Conexión cuarta brigada, cuadrantes","Prolírica, Pintura",,,14,Sí,2,23/07/2016,27/12/2016,06/09/2017,,,,Sí,No,No,Sí,Empalme Parcial,SI,SI,NO,NO,NO,NO,NO,NO,Sí,"Mediante apoyo a Proyectos, Gestión Cursos del SENA, Participación en La Planeación Local"
22/09/2017,13,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y JUNTAS DE VIVIENDA DE LA COMUNA TRECE ASOCOMUNA 13,Calle 44 - 95-79 Int. 1,SI,Bueno,No especifica,No especifica,No especifica,No especifica,"Refieren: ""Bueno""",Bueno,"""Acompañamiento a todas las JAC""",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,8,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",Acompañamiento y gestión con la Secretaria de Salud en jornadas de Prevención y Promoción ,"Articulación con la Secretaria de educación, Sapiensa y formación por parte de los formadores de Asocomuna 13 ",Se realiza actividades dirigidas a toda la comunidad en mejoramiento de la calidad de vida,Articulación con el Inder entre otras actividades propias de Asocomuna 13,"Se realiza actividades dirigidas a toda la comunidad en mejoramiento de la calidad de vida y articulación con el Inder 
",Con acciones positivas y prepositivas que incidan en el desarrollo integral y mejoramiento de la calidad de vida de los habitantes y articulación con la secretarias de la administración Municipal,Se realiza talleres a víctimas del conflicto y se articulan con varios programas del plan de trabajo,"""Acompañamiento a las actividades de la comuna y eventos culturales propios como: Fiestas de la comuna, formación cultural etc.""",Ver antes mencionadas,Ver antes mencionadas,16 renunció 1 dignatario delegado 4,Sí,5,12/08/2017,No se evidenció,20/05/2017,29/06/2017,"El libro de actas se extravió, están digitalizadas  ",N/A,Sí,Sí,Sí,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"""intentando cambiar la forma en que se interviene y reconstruyendo tejido social"""
05/10/2017,05,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y VIVIENDA COMUNITARIA DE LA COMUNA 5 DE CASTILLA,CR 68 No 106C-24,SI,Regular,Malo,No especifica,No especifica,No especifica,No especifica,No especifica,ASESORAR EN PLANES DE DESARROLLO LOCALES ,SI,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores",SI,Sí,SI,1,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","VACUNACION, JORNADAS DE SALUD ",,,,,,,,,,15,Sí,3,17-09-2017,,12-05-2017,17/09/2017,,,Sí,Sí,No,Sí,Empalme Parcial,NO,NO,SI,NO,NO,NO,NO,NO,Sí,EN LA GESTION QUE SE REALIZA CON LA ADMINISTRACIÓN Y CON LA PRESENCIA A LOS  DIFERENTES ESPACIOS PARA TRAER PROYECTOS QUE BENEFICIEN A LAS JUNTAS DE ACCIÓN COMUNAL 
07/09/2017,01,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL Y VIVIENDA COMUNITARIA DE LA COMUNA UNO (ASOCOMUNAL UNO),Casa de Gobierno Santo Domingo Savio,SI,Bueno,Bueno,Bueno,Bueno,Bueno,No especifica,No especifica,"Planeación estratégica, Articulación con las JAC, Mesa Ambiental, Comite de cultura, Plan de salud, Acompañamiento en los procesos que se describen",NO,Sí,Sí,"Mujeres, Hombres, LGTBI, Adultos, Adultos Mayores, Victimas del conflicto, Población en Situación de Discapacidad",NO,No,SI,4,SI,Sí,Fortalecer la Convivencia,Trabajo con el sistema de salud,Capacitación a las JAC,Capacitación con personeria,Torneos,Festival del niño,Acompañamiento a convites,,,,,13,Sí,8,No presentan,No presentan,No presentan,,,,Sí,No,No,Sí,Empalme Parcial,SI,,,,,,,,Sí,Planeación en el territorio con la participación en la gestión y seguimiento del Plan del Desarrollo Local
12/11/2017,15,ASOCOMUNAL COMUNA 15 DE GUAYABAL,Calle- 6- n 56-22,SI,Bueno,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,Acompañamiento a las diferentes JAC territorio.,SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto",SI,Sí,SI,1,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento.","comisión de salud copacos,  gestión de recursos  para impacto en el territorio, campañas con comunidad en inclusión, derechos humanos activos en territorio con la administración.", priorización de recursos.," gestión de recursos  para impacto en el territorio campañas con comunidad en inclusión, derechos humanos activos en territorio con la administración. ",,,,,,,,10,Sí,4,13-07-2004,9-12-2008,15-10-2008,,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,Como parte activa de todos los procesos territoriales entre administración y comunidad.
01/09/2017,10,ASOCOMUNAL DIEZ LA CANDELARIA,Carrera 48  38-16,SI,Bueno,Bueno,Bueno,Bueno,Bueno,"Centro Día, Museo Casa de La Memoria y Casa LGTBI",Bueno,"Acompañamiento a organizaciones de primer grado (JAC´s), Asesoría, acompañamiento y Capacitación, intervención en el tema de conflictos",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto",SI,Sí,SI,5,SI,No,"Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia, Cultura",Brigadas en asambleas y jornadas de salud,Convenios con entidades educativas,"Promoción grupo danzas, invitación a capacitaciones en diferentes espacios, empoderamiento de espacios públicos",Participación torneos deportivos,Bazares,"Programas de hátitat, Vivero",Acuerdos de conversatorios,,,,15,Sí,4,30/07/2016,,07/07/2017,04/08/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,Con la participación activa en los diferentes espacios de deliberación y toma de decisiones
21/10/2017,80,ASOCOMUNAL SAN ANTONIO DE PRADO,No especifica,SI,Bueno,Regular,Bueno,No especifica,No especifica,No especifica,No especifica,"Visitas de Diagnósticas a las JAC,  Articulación, apoyo económico  y asesoría a las JAC, y al colectivo de mujeres",SI,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Victimas del conflicto",SI,Sí,SI,5,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",,,,,,,,,ACCIONES TRANSVERSALES QUE FORTALEZCAN LAS ORGANIZACIONES COMUNALES.,UN CONVENIO CON EL PARQUE BIBLIOTECA JOSÉ HORACIO BETANCUR,15,Sí,6,23 DE MAYO DEL  2017,NO SE PRESENTÓ,NO SE PRESENTÓ,15/05/2017,,Las actas se llevan en medios magnéticos,Sí,Sí,No,Sí,Empalme Parcial,,,,,,,,,Sí,"Generar Confianza en la JAC, Articular sector público y privado, generar convivencia dentro de las organizaciones comunales."
16/09/2017,09,BARRIO ÁVILA,CR 28B #38F - 05,SI,Bueno,No especifica,No especifica,Regular,No especifica,CENTRO DE SALUD,Bueno,"SE TRABAJA POR LAS NECESIDADES DE LOS HABITANTES DEL TERRITORIO, EN TODAS LAS ACTIVIDADES QUE SE PLANEAN SE TIENEN EN CUENTA LA COMUNIDAD. ",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores",SI,Sí,SI,5,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","BRIGADAS DE SALUD, CÇVACUNACIÓN, MASCITAS, ",CURSOS DE INGLES,,"CLUB JUVENIL, ESCUELA DE FÚTBOL, JUSTAS DEPORTIVAS",RECREO COMUNA,"INTERVENCIONES MEDIOAMBIENTALES, CAPACITACIONES SOBRE RESIDUOS SÓLIDOS, MASCOTAS.",,MUSICAL NAVIDEÑO,,,14,Sí,3,07/06/2017,,,09/07/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"SE INCIDE DESDE VARIOS ÁMBITOS COMO: LA INFRAESTRUCTURA, LA CULTURA, MEDIO AMBIENTE, ENTRE OTROS, LA COMUNIDAD SE SIENTE MUY INTERESADA POR TODOS LOS PROCESES QUE SE GESTAN EN EL RADIO DE ACCIÓN."
